,name,bigg_id,metabolites
10,aminopeptidase,rxn12636_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'met_L_ala__L_c'}, {'coefficient': 1.0, 'bigg_id': 'met__L_c'}, {'coefficient': 1.0, 'bigg_id': 'ala__L_c'}]"
11,aminopeptidase,rxn12644_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'ala_L_thr__L_c'}, {'coefficient': 1.0, 'bigg_id': 'thr__L_c'}, {'coefficient': 1.0, 'bigg_id': 'ala__L_c'}]"
12,Dipeptide transport via ABC system met-ala,rxn05536_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'met_L_ala__L_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'met_L_ala__L_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}]"
13,N-succinyl-L-glutamate 5-semialdehyde NAD oxidoreductase,rxn03422_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': 'sucgsa_c'}, {'coefficient': 2.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': 'sucglu_c'}]"
14,R-3-Hydroxytetradecanoly-acyl-carrier-protein UDP-N-acetyl-,rxn06729_c,"[{'coefficient': -1.0, 'bigg_id': '3hmrsACP_c'}, {'coefficient': -1.0, 'bigg_id': 'uacgam_c'}, {'coefficient': 1.0, 'bigg_id': 'ACP_c'}, {'coefficient': 1.0, 'bigg_id': 'u3aga_c'}]"
15,Isocitrate NADP oxidoreductase decarboxylating,rxn01387_c,"[{'coefficient': -1.0, 'bigg_id': 'nadp_c'}, {'coefficient': -1.0, 'bigg_id': 'icit_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'mDB_oxasucc_c'}, {'coefficient': 1.0, 'bigg_id': 'nadph_c'}]"
16,L-Valine-ABC transport,rxn05168_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'val__L_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'val__L_c'}]"
17,Dipeptide transport via ABC system ala-leu,rxn05544_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'ala_L_leu__L_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'ala_L_leu__L_c'}]"
18,2S 3R-3-Hydroxybutane-1 2 3-tricarboxylate hydro-lyase,rxn03061_c,"[{'coefficient': -1.0, 'bigg_id': 'micit_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': '2mcacn_c'}]"
19,Deoxyribose transport via ABC system,rxn05549_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'drib_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'drib_c'}]"
20,3R-3-Hydroxybutanoyl-acyl-carrier-protein hydro-lyase,rxn05330_c,"[{'coefficient': -1.0, 'bigg_id': '3hhexACP_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'thex2eACP_c'}]"
21,2-Phospho-4-cytidine 5-diphospho-2-C-methyl-D-erythritol,rxn03910_c,"[{'coefficient': -1.0, 'bigg_id': '2p4c2me_c'}, {'coefficient': 1.0, 'bigg_id': '2mecdp_c'}, {'coefficient': 1.0, 'bigg_id': 'cmp_c'}]"
22,precorrin-6Y NADP oxidoreductase,rxn03492_c,"[{'coefficient': -1.0, 'bigg_id': 'nadp_c'}, {'coefficient': -1.0, 'bigg_id': 'pre6b_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadph_c'}, {'coefficient': 1.0, 'bigg_id': 'pre6a_c'}]"
23,magnesium transport in/out via permease no H,rxn05616_c,"[{'coefficient': -1.0, 'bigg_id': 'mg2_c'}, {'coefficient': 1.0, 'bigg_id': 'mg2_e'}]"
24,fumarate reductase,rxn08527_c,"[{'coefficient': -1.0, 'bigg_id': 'fum_c'}, {'coefficient': -1.0, 'bigg_id': 'mql8_c'}, {'coefficient': 1.0, 'bigg_id': 'succ_c'}, {'coefficient': 1.0, 'bigg_id': 'mqn8_c'}]"
25,Gly-Cys ABC transporters,rxn12848_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'gly_cys__L_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'gly_cys__L_c'}]"
26,GTP cytidine 5-phosphotransferase,rxn00369_c,"[{'coefficient': -1.0, 'bigg_id': 'cytd_c'}, {'coefficient': -1.0, 'bigg_id': 'gtp_c'}, {'coefficient': 1.0, 'bigg_id': 'cmp_c'}, {'coefficient': 1.0, 'bigg_id': 'gdp_c'}]"
27,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase,rxn02212_c,"[{'coefficient': -1.0, 'bigg_id': '2dda7p_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': '3dhq_c'}]"
28,Formamidopyrimidine nucleoside triphosphate 7 8-8 9-dihydrolase,rxn03419_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd03518_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd03519_c'}, {'coefficient': 1.0, 'bigg_id': 'for_c'}]"
29,L-Histidinol-phosphate phosphohydrolase,rxn02160_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'hisp_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'histd_c'}]"
30,NADP transhydrogenase,THD2,"[{'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': -1.0, 'bigg_id': 'nadp_c'}, {'coefficient': -2.0, 'bigg_id': 'h_e'}, {'coefficient': 2.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': 'nadph_c'}]"
31,5-Methyltetrahydropteroyltri-L-glutamate L-homocysteine,rxn03052_c,"[{'coefficient': -1.0, 'bigg_id': 'hcys__L_c'}, {'coefficient': -1.0, 'bigg_id': 'mhpglu_c'}, {'coefficient': 1.0, 'bigg_id': 'met__L_c'}, {'coefficient': 1.0, 'bigg_id': 'hpglu_c'}]"
32,2-Methylpropanoyl-CoA oxygen 2 3-oxidoreductase,rxn01923_c,"[{'coefficient': -2.0, 'bigg_id': 'ibcoa_c'}, {'coefficient': -1.0, 'bigg_id': 'o2_c'}, {'coefficient': 2.0, 'bigg_id': 'h2o_c'}, {'coefficient': 2.0, 'bigg_id': '2mp2coa_c'}]"
33,S-malate NAD oxidoreductase,MDH,"[{'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': 'mal__L_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': 'oaa_c'}]"
34,6 7-Dimethyl-8-1-D-ribityllumazine 6 7-dimethyl-8-1-D-ribityl,rxn00048_c,"[{'coefficient': -2.0, 'bigg_id': 'dmlz_c'}, {'coefficient': 1.0, 'bigg_id': '4r5au_c'}, {'coefficient': 1.0, 'bigg_id': 'ribflv_c'}]"
35,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2 6-,rxn03164_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'ugmd_c'}, {'coefficient': -1.0, 'bigg_id': 'alaala_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'ugmda_c'}]"
36,GLUt4i,rxn05298_c,"[{'coefficient': -1.0, 'bigg_id': 'na1_e'}, {'coefficient': -1.0, 'bigg_id': 'glu__L_e'}, {'coefficient': 1.0, 'bigg_id': 'na1_c'}, {'coefficient': 1.0, 'bigg_id': 'glu__L_c'}]"
37,dGTP uridine 5-phosphotransferase,rxn01370_c,"[{'coefficient': -1.0, 'bigg_id': 'uri_c'}, {'coefficient': -1.0, 'bigg_id': 'dgtp_c'}, {'coefficient': 1.0, 'bigg_id': 'ump_c'}, {'coefficient': 1.0, 'bigg_id': 'dgdp_c'}]"
38,Lysine/Cadaverine antiporter,rxn10148_c,"[{'coefficient': -1.0, 'bigg_id': 'h_e'}, {'coefficient': -1.0, 'bigg_id': 'lys__L_e'}, {'coefficient': -1.0, 'bigg_id': '15dap_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'lys__L_c'}, {'coefficient': 1.0, 'bigg_id': '15dap_e'}]"
39,Chorismate hydroxymutase,rxn01258_c,"[{'coefficient': -1.0, 'bigg_id': 'chor_c'}, {'coefficient': 1.0, 'bigg_id': 'ichor_c'}]"
40,NCAIR synthetase and NCAIR mutase,rxn05229_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'air_c'}, {'coefficient': -1.0, 'bigg_id': 'hco3_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': '5aizc_c'}]"
41,aminopeptidase,rxn12637_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'gly_asp__L_c'}, {'coefficient': 1.0, 'bigg_id': 'gly_c'}, {'coefficient': 1.0, 'bigg_id': 'asp__L_c'}]"
42,rxn07586,rxn07586_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'copre5_c'}, {'coefficient': 1.0, 'bigg_id': 'acald_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'codscl5b_c'}]"
43,adenosylcobyric acid R-1-aminopropan-2-ol ligase ADP-forming,rxn05054_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'adcobhex_c'}, {'coefficient': -1.0, 'bigg_id': 'appl_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'adocbi_c'}]"
44,3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase,rxn00902_c,"[{'coefficient': -1.0, 'bigg_id': 'accoa_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': '3mob_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'coa_c'}, {'coefficient': 1.0, 'bigg_id': '3c3hmp_c'}]"
45,O-Acetyl-L-homoserine acetate-lyase adding methanethiol,rxn00952_c,"[{'coefficient': -1.0, 'bigg_id': 'achms_c'}, {'coefficient': -1.0, 'bigg_id': 'h2s_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'ac_c'}, {'coefficient': 1.0, 'bigg_id': 'hcys__L_c'}]"
46,L-1-Pyrroline-5-carboxylate NAD oxidoreductase,rxn00503_c,"[{'coefficient': -2.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': '1pyr5c_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': 'glu__L_c'}]"
47,anteisoheptadecanoyl-Phosphatidylglycerophosphate phosphohydrolase,rxn10266_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd15717_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd15723_c'}]"
48,1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase carboxylating,rxn03909_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'g3p_c'}, {'coefficient': -1.0, 'bigg_id': 'pyr_c'}, {'coefficient': 1.0, 'bigg_id': 'co2_c'}, {'coefficient': 1.0, 'bigg_id': 'dxyl5p_c'}]"
49,Hexadecanoyl-acyl-carrier protein malonyl-CoA,rxn05328_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': -1.0, 'bigg_id': 'tpalm2eACP_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd11476_c'}]"
50,S-Adenosyl-L-methionine uroporphyrin-III C-methyltransferase,rxn02056_c,"[{'coefficient': -1.0, 'bigg_id': 'scl_c'}, {'coefficient': -1.0, 'bigg_id': 'fe2_c'}, {'coefficient': 2.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'sheme_c'}]"
51,10-methyl-3-oxo-dodecanoyl-ACP NADP oxidoreductase,rxn05372_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadph_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd11508_c'}, {'coefficient': 1.0, 'bigg_id': 'nadp_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd11509_c'}]"
52,2-Phospho-D-glycerate hydro-lyase,ENO,"[{'coefficient': -1.0, 'bigg_id': '2pg_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'pep_c'}]"
53,L-Arginine carboxy-lyase,rxn00405_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'arg__L_c'}, {'coefficient': 1.0, 'bigg_id': 'co2_c'}, {'coefficient': 1.0, 'bigg_id': 'agm_c'}]"
54,isoheptadecanoyl-CDPdiacylglycerol sn-glycerol-3-phosphate 3-phosphatidyltransferase,rxn10259_c,"[{'coefficient': -1.0, 'bigg_id': 'glyc3p_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd15683_c'}, {'coefficient': 1.0, 'bigg_id': 'cmp_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd15716_c'}]"
55,L-Proline NAD 5-oxidoreductase,rxn00929_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': -1.0, 'bigg_id': '1pyr5c_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': 'pro__L_c'}]"
56,INSt2r,rxn05316_c,"[{'coefficient': -1.0, 'bigg_id': 'h_e'}, {'coefficient': -1.0, 'bigg_id': 'ins_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'ins_c'}]"
57,CDP-diacylglycerol synthetase n-C18 0,rxn08311_c,"[{'coefficient': -1.0, 'bigg_id': 'ctp_c'}, {'coefficient': -1.0, 'bigg_id': 'pa180_c'}, {'coefficient': 1.0, 'bigg_id': 'ppi_c'}, {'coefficient': 1.0, 'bigg_id': 'cdpdodecg_c'}]"
58,ATP D-fructose-1-phosphate 6-phosphotransferase,rxn01492_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'f1p_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'fdp_c'}]"
59,3-Phospho-D-glycerate NAD 2-oxidoreductase,rxn01101_c,"[{'coefficient': -1.0, 'bigg_id': 'nad_c'}, {'coefficient': -1.0, 'bigg_id': '3pg_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': '3php_c'}]"
60,GTP 7 8-8 9-dihydrolase,rxn00302_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'gtp_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd03518_c'}]"
61,ZN2t4,rxn05315_c,"[{'coefficient': -1.0, 'bigg_id': 'h_e'}, {'coefficient': -1.0, 'bigg_id': 'k_e'}, {'coefficient': -1.0, 'bigg_id': 'zn2_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'k_c'}, {'coefficient': 1.0, 'bigg_id': 'zn2_e'}]"
62,Orthophosphate-ABC transport,rxn05145_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'pi_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 2.0, 'bigg_id': 'pi_c'}]"
63,3R-3-Hydroxyoctanoyl-acyl-carrier-protein NADP oxidoreductase,rxn05341_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'nadph_c'}, {'coefficient': -1.0, 'bigg_id': '3ooctACP_c'}, {'coefficient': 1.0, 'bigg_id': 'nadp_c'}, {'coefficient': 1.0, 'bigg_id': '3hoctACP_c'}]"
64,N2-succinyl-L-ornithine 2-oxoglutarate 5-aminotransferase,rxn02944_c,"[{'coefficient': -1.0, 'bigg_id': 'akg_c'}, {'coefficient': -1.0, 'bigg_id': 'sucorn_c'}, {'coefficient': 1.0, 'bigg_id': 'sucgsa_c'}, {'coefficient': 1.0, 'bigg_id': 'glu__L_c'}]"
65,2-Dehydro-3-deoxy-D-octonate-8-phosphate,rxn02331_c,"[{'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'pep_c'}, {'coefficient': -1.0, 'bigg_id': 'ara5p_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'kdo8p_c'}]"
66,3-Oxooctodecanoyl-ACP malonyl-acyl-carrier-protein C-acyltransferase decarboxylating,rxn05460_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'cpd11476_c'}, {'coefficient': -1.0, 'bigg_id': 'malACP_c'}, {'coefficient': 1.0, 'bigg_id': 'co2_c'}, {'coefficient': 1.0, 'bigg_id': 'ACP_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd11570_c'}]"
67,2-Octaprenyl-3-methyl-6-methoxy-1 4-benzoquinone NADPH2 oxygen,rxn04139_c,"[{'coefficient': -1.0, 'bigg_id': 'nadph_c'}, {'coefficient': -1.0, 'bigg_id': 'o2_c'}, {'coefficient': -1.0, 'bigg_id': '2ommb_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'nadp_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd03449_c'}]"
68,S-3-Hydroxytetradecanoyl-CoA hydro-lyase,rxn03241_c,"[{'coefficient': -1.0, 'bigg_id': '3htdcoa_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'td2coa_c'}]"
69,dUTP cytidine 5-phosphotransferase,rxn01706_c,"[{'coefficient': -1.0, 'bigg_id': 'cytd_c'}, {'coefficient': -1.0, 'bigg_id': 'dutp_c'}, {'coefficient': 1.0, 'bigg_id': 'cmp_c'}, {'coefficient': 1.0, 'bigg_id': 'dudp_c'}]"
70,2-Formamido-N1-5-phosphoribosylacetamidine cyclo-ligase,rxn02937_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'fpram_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'air_c'}]"
71,O3-Acetyl-L-serine acetate-lyase adding hydrogen sulfide,rxn00649_c,"[{'coefficient': -1.0, 'bigg_id': 'h2s_c'}, {'coefficient': -1.0, 'bigg_id': 'acser_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'ac_c'}, {'coefficient': 1.0, 'bigg_id': 'cys__L_c'}]"
72,cytochrome oxidase bd menaquinol-8 2 protons,rxn10806_c,"[{'coefficient': -2.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'mql8_c'}, {'coefficient': -0.5, 'bigg_id': 'o2_c'}, {'coefficient': 1.0, 'bigg_id': 'h2o_c'}, {'coefficient': 1.0, 'bigg_id': 'mqn8_c'}, {'coefficient': 2.0, 'bigg_id': 'h_e'}]"
73,betaine glycine betaine transport in/out via proton symport,rxn05579_c,"[{'coefficient': -1.0, 'bigg_id': 'h_e'}, {'coefficient': -1.0, 'bigg_id': 'glyb_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'glyb_c'}]"
74,Gly-Try ABC transporters,rxn12851_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'gly_tyr__L_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'gly_tyr__L_c'}]"
75,Sulfate-ABC transport,rxn05153_c,"[{'coefficient': -1.0, 'bigg_id': 'atp_c'}, {'coefficient': -1.0, 'bigg_id': 'h2o_c'}, {'coefficient': -1.0, 'bigg_id': 'so4_e'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'pi_c'}, {'coefficient': 1.0, 'bigg_id': 'so4_c'}]"
