,name,bigg_id,gene_reaction_rule,genes,metabolites
14,Glutamate dehydrogenase (NADP),GLUDy,b1761,"[{'bigg_id': 'b1761', 'name': 'gdhA'}]","[{'coefficient': -1, 'bigg_id': 'glu__L_c'}, {'coefficient': -1, 'bigg_id': 'nadp_c'}, {'coefficient': 1, 'bigg_id': 'nh4_c'}, {'coefficient': 1, 'bigg_id': 'h_c'}, {'coefficient': 1, 'bigg_id': 'nadph_c'}, {'coefficient': 1, 'bigg_id': 'akg_c'}, {'coefficient': -1, 'bigg_id': 'h2o_c'}]"
15,Formate transport via diffusion,FORti,b0904 or b2492,"[{'bigg_id': 'b2492', 'name': 'focB'}, {'bigg_id': 'b0904', 'name': 'focA'}]","[{'coefficient': 1, 'bigg_id': 'for_e'}, {'coefficient': -1, 'bigg_id': 'for_c'}]"
16,Fructose transport via PEPPyr PTS  f6p generating ,FRUpts2,b1817 and b1818 and b1819 and b2415 and b2416,"[{'bigg_id': 'b1819', 'name': 'manZ'}, {'bigg_id': 'b1817', 'name': 'manX'}, {'bigg_id': 'b2415', 'name': 'ptsH'}, {'bigg_id': 'b2416', 'name': 'ptsI'}, {'bigg_id': 'b1818', 'name': 'manY'}]","[{'coefficient': -1, 'bigg_id': 'pep_c'}, {'coefficient': 1, 'bigg_id': 'f6p_c'}, {'coefficient': -1, 'bigg_id': 'fru_e'}, {'coefficient': 1, 'bigg_id': 'pyr_c'}]"
17,succinate dehydrogenase irreversible,SUCDi,b0721 and b0722 and b0723 and b0724,"[{'bigg_id': 'b0724', 'name': 'sdhB'}, {'bigg_id': 'b0721', 'name': 'sdhC'}, {'bigg_id': 'b0722', 'name': 'sdhD'}, {'bigg_id': 'b0723', 'name': 'sdhA'}]","[{'coefficient': -1, 'bigg_id': 'succ_c'}, {'coefficient': 1, 'bigg_id': 'fum_c'}, {'coefficient': -1, 'bigg_id': 'q8_c'}, {'coefficient': 1, 'bigg_id': 'q8h2_c'}]"
18,D lactate transport via proton symport,D_LACt2,b2975 or b3603,"[{'bigg_id': 'b3603', 'name': 'lldP'}, {'bigg_id': 'b2975', 'name': 'glcA'}]","[{'coefficient': -1, 'bigg_id': 'lac__D_e'}, {'coefficient': 1, 'bigg_id': 'h_c'}, {'coefficient': 1, 'bigg_id': 'lac__D_c'}, {'coefficient': -1, 'bigg_id': 'h_e'}]"
19,Biomass Objective Function with GAM,BIOMASS_Ecoli_core_w_GAM,,[],"[{'coefficient': 3.7478, 'bigg_id': 'coa_c'}, {'coefficient': -0.8977, 'bigg_id': 'r5p_c'}, {'coefficient': -1.496, 'bigg_id': '3pg_c'}, {'coefficient': -0.361, 'bigg_id': 'e4p_c'}, {'coefficient': -0.2557, 'bigg_id': 'gln__L_c'}, {'coefficient': 3.547, 'bigg_id': 'nadh_c'}, {'coefficient': -2.8328, 'bigg_id': 'pyr_c'}, {'coefficient': -0.0709, 'bigg_id': 'f6p_c'}, {'coefficient': -13.0279, 'bigg_id': 'nadph_c'}, {'coefficient': -3.7478, 'bigg_id': 'accoa_c'}, {'coefficient': -1.7867, 'bigg_id': 'oaa_c'}, {'coefficient': -0.129, 'bigg_id': 'g3p_c'}, {'coefficient': -3.547, 'bigg_id': 'nad_c'}, {'coefficient': 59.81, 'bigg_id': 'pi_c'}, {'coefficient': -0.205, 'bigg_id': 'g6p_c'}, {'coefficient': 4.1182, 'bigg_id': 'akg_c'}, {'coefficient': -0.5191, 'bigg_id': 'pep_c'}, {'coefficient': -4.9414, 'bigg_id': 'glu__L_c'}, {'coefficient': -59.81, 'bigg_id': 'atp_c'}, {'coefficient': 59.81, 'bigg_id': 'adp_c'}, {'coefficient': 59.81, 'bigg_id': 'h_c'}, {'coefficient': -59.81, 'bigg_id': 'h2o_c'}, {'coefficient': 13.0279, 'bigg_id': 'nadp_c'}]"
20,DDPA,DDPA,,[],"[{'bigg_id': 'pep_c', 'coefficient': -1}, {'bigg_id': 'e4p_c', 'coefficient': -1}, {'bigg_id': 'pi_c', 'coefficient': 1}, {'bigg_id': '2dda7p_c', 'coefficient': 1}, {'bigg_id': 'h2o_c', 'coefficient': -1}]"
21,DHQS,DHQS,,[],"[{'bigg_id': '3dhq_c', 'coefficient': 1}, {'bigg_id': 'pi_c', 'coefficient': 1}, {'bigg_id': '2dda7p_c', 'coefficient': -1}]"
22,SHKK,SHKK,,[],"[{'bigg_id': 'atp_c', 'coefficient': -1}, {'bigg_id': 'skm_c', 'coefficient': -1}, {'bigg_id': 'skm5p_c', 'coefficient': 1}, {'bigg_id': 'adp_c', 'coefficient': 1}, {'bigg_id': 'h_c', 'coefficient': 1}]"
23,PSCVT,PSCVT,,[],"[{'bigg_id': 'pep_c', 'coefficient': -1}, {'bigg_id': 'pi_c', 'coefficient': 1}, {'bigg_id': 'skm5p_c', 'coefficient': -1}, {'bigg_id': '3psme_c', 'coefficient': 1}]"
24,CHORS,CHORS,,[],"[{'bigg_id': 'chor_c', 'coefficient': 1}, {'bigg_id': 'pi_c', 'coefficient': 1}, {'bigg_id': '3psme_c', 'coefficient': -1}]"
25,PHEt2r,PHEt2r,,[],"[{'bigg_id': 'phe__L_e', 'coefficient': -1}, {'bigg_id': 'h_e', 'coefficient': -1}, {'bigg_id': 'h_c', 'coefficient': 1}, {'bigg_id': 'phe__L_c', 'coefficient': 1}]"
26,rxnvio6,rxnvio6,,[],"[{'bigg_id': 'mDB_2i3ip_c', 'coefficient': -2}, {'bigg_id': 'chpy_c', 'coefficient': 1}, {'bigg_id': 'nh4_c', 'coefficient': 1}, {'bigg_id': 'h_c', 'coefficient': 1}]"
27,DF_chpy,DF_chpy,,[],"[{'bigg_id': 'chpy_c', 'coefficient': -1}, {'bigg_id': 'chpy_e', 'coefficient': 1}]"
28,Ex_chpy[e],Ex_chpy_e,,[],"[{'bigg_id': 'chpy_e', 'coefficient': -1}]"
29,Ex_chpy[e],Ex_chpy_e,,[],"[{'bigg_id': 'chpy_e', 'coefficient': -1}]"
30,DF_dvio,DF_dvio,,[],"[{'bigg_id': 'mDB_dvio_e', 'coefficient': 1}, {'bigg_id': 'mDB_dvio_c', 'coefficient': -1}]"
31,rxnvio9,rxnvio9,,[],"[{'bigg_id': 'o2_c', 'coefficient': -1}, {'bigg_id': 'h2o_c', 'coefficient': 1}, {'bigg_id': 'mDB_prodvio_c', 'coefficient': 1}, {'bigg_id': 'mDB_pvnate_c', 'coefficient': -1}, {'bigg_id': 'h_c', 'coefficient': -1}, {'bigg_id': 'co2_c', 'coefficient': 1}]"
32,DF_vio,DF_vio,,[],"[{'bigg_id': 'mDB_vio_c', 'coefficient': -1}, {'bigg_id': 'mDB_vio_e', 'coefficient': 1}]"
